Elapsed,Time,User Path,Virtual User ID,Parent,Element,Response time,Success,Population,Zone
1321,2023-04-12T06:53:38.555-05:00,"BE_Standard_C4484573",0-9,"Actions","START",0,yes,"BE","Default zone"
1383,2023-04-12T06:53:38.617-05:00,"BE_Standard_C4484573",0-8,"Actions","START",0,yes,"BE","Default zone"
1429,2023-04-12T06:53:38.663-05:00,"BE_Standard_C4484573",0-7,"Actions","START",0,yes,"BE","Default zone"
1495,2023-04-12T06:53:38.729-05:00,"BE_Standard_C4484573",0-3,"Actions","START",0,yes,"BE","Default zone"
1550,2023-04-12T06:53:38.784-05:00,"BE_Standard_C4484573",0-4,"Actions","START",0,yes,"BE","Default zone"
1560,2023-04-12T06:53:38.794-05:00,"BE_Standard_C4484573",0-2,"Actions","START",0,yes,"BE","Default zone"
1561,2023-04-12T06:53:38.795-05:00,"BE_Standard_C4484573",0-6,"Actions","START",0,yes,"BE","Default zone"
1578,2023-04-12T06:53:38.812-05:00,"BE_Standard_C4484573",0-5,"Actions","START",0,yes,"BE","Default zone"
1590,2023-04-12T06:53:38.824-05:00,"BE_Standard_C4484573",0-0,"Actions","START",0,yes,"BE","Default zone"
1601,2023-04-12T06:53:38.835-05:00,"BE_Standard_C4484573",0-1,"Actions","START",0,yes,"BE","Default zone"
2645,2023-04-12T06:53:39.879-05:00,"BE_Standard_C4484573",0-6,"Actions","BE_Landing",974,yes,"BE","Default zone"
2647,2023-04-12T06:53:39.881-05:00,"BE_Standard_C4484573",0-8,"Actions","BE_Landing",1140,yes,"BE","Default zone"
2655,2023-04-12T06:53:39.889-05:00,"BE_Standard_C4484573",0-0,"Actions","BE_Landing",873,yes,"BE","Default zone"
2655,2023-04-12T06:53:39.889-05:00,"BE_Standard_C4484573",0-9,"Actions","BE_Landing",1107,yes,"BE","Default zone"
2657,2023-04-12T06:53:39.891-05:00,"BE_Standard_C4484573",0-7,"Actions","BE_Landing",1141,yes,"BE","Default zone"
2658,2023-04-12T06:53:39.892-05:00,"BE_Standard_C4484573",0-1,"Actions","BE_Landing",880,yes,"BE","Default zone"
2658,2023-04-12T06:53:39.892-05:00,"BE_Standard_C4484573",0-3,"Actions","BE_Landing",1044,yes,"BE","Default zone"
2660,2023-04-12T06:53:39.894-05:00,"BE_Standard_C4484573",0-4,"Actions","BE_Landing",1016,yes,"BE","Default zone"
2660,2023-04-12T06:53:39.894-05:00,"BE_Standard_C4484573",0-2,"Actions","BE_Landing",920,yes,"BE","Default zone"
2669,2023-04-12T06:53:39.903-05:00,"BE_Standard_C4484573",0-5,"Actions","BE_Landing",952,yes,"BE","Default zone"
8810,2023-04-12T06:53:46.044-05:00,"BE_Standard_C4484573",0-0,"Actions","BE_Login",1690,yes,"BE","Default zone"
8863,2023-04-12T06:53:46.097-05:00,"BE_Standard_C4484573",0-8,"Actions","BE_Login",1574,yes,"BE","Default zone"
8872,2023-04-12T06:53:46.106-05:00,"BE_Standard_C4484573",0-1,"Actions","BE_Login",1821,yes,"BE","Default zone"
9158,2023-04-12T06:53:46.392-05:00,"BE_Standard_C4484573",0-2,"Actions","BE_Login",1687,yes,"BE","Default zone"
9292,2023-04-12T06:53:46.526-05:00,"BE_Standard_C4484573",0-9,"Actions","BE_Login",1713,yes,"BE","Default zone"
9298,2023-04-12T06:53:46.532-05:00,"BE_Standard_C4484573",0-6,"Actions","BE_Login",1576,yes,"BE","Default zone"
9395,2023-04-12T06:53:46.629-05:00,"BE_Standard_C4484573",0-5,"Actions","BE_Login",1738,yes,"BE","Default zone"
9472,2023-04-12T06:53:46.706-05:00,"BE_Standard_C4484573",0-7,"Actions","BE_Login",1682,yes,"BE","Default zone"
9613,2023-04-12T06:53:46.847-05:00,"BE_Standard_C4484573",0-4,"Actions","BE_Login",1493,yes,"BE","Default zone"
9691,2023-04-12T06:53:46.925-05:00,"BE_Standard_C4484573",0-3,"Actions","BE_Login",1505,yes,"BE","Default zone"
14951,2023-04-12T06:53:52.185-05:00,"BE_Standard_C4484573",0-1,"Actions","BE_Benefit Enrollment",1658,yes,"BE","Default zone"
15322,2023-04-12T06:53:52.556-05:00,"BE_Standard_C4484573",0-2,"Actions","BE_Benefit Enrollment",1843,yes,"BE","Default zone"
15352,2023-04-12T06:53:52.586-05:00,"BE_Standard_C4484573",0-8,"Actions","BE_Benefit Enrollment",2165,yes,"BE","Default zone"
15653,2023-04-12T06:53:52.887-05:00,"BE_Standard_C4484573",0-6,"Actions","BE_Benefit Enrollment",1932,yes,"BE","Default zone"
15694,2023-04-12T06:53:52.928-05:00,"BE_Standard_C4484573",0-3,"Actions","BE_Benefit Enrollment",1653,yes,"BE","Default zone"
16474,2023-04-12T06:53:53.708-05:00,"BE_Standard_C4484573",0-5,"Actions","BE_Benefit Enrollment",1632,yes,"BE","Default zone"
16608,2023-04-12T06:53:53.842-05:00,"BE_Standard_C4484573",0-0,"Actions","BE_Benefit Enrollment",2112,yes,"BE","Default zone"
16742,2023-04-12T06:53:53.976-05:00,"BE_Standard_C4484573",0-4,"Actions","BE_Benefit Enrollment",1677,yes,"BE","Default zone"
16969,2023-04-12T06:53:54.203-05:00,"BE_Standard_C4484573",0-9,"Actions","BE_Benefit Enrollment",2902,yes,"BE","Default zone"
17139,2023-04-12T06:53:54.373-05:00,"BE_Standard_C4484573",0-7,"Actions","BE_Benefit Enrollment",1905,yes,"BE","Default zone"
20278,2023-04-12T06:53:57.512-05:00,"BE_Standard_C4484573",0-1,"Actions","BE_Welcome_Benefit Enrollment",159,yes,"BE","Default zone"
20623,2023-04-12T06:53:57.857-05:00,"BE_Standard_C4484573",0-3,"Actions","BE_Welcome_Benefit Enrollment",144,yes,"BE","Default zone"
20829,2023-04-12T06:53:58.063-05:00,"BE_Standard_C4484573",0-2,"Actions","BE_Welcome_Benefit Enrollment",137,yes,"BE","Default zone"
20919,2023-04-12T06:53:58.153-05:00,"BE_Standard_C4484573",0-8,"Actions","BE_Welcome_Benefit Enrollment",133,yes,"BE","Default zone"
21318,2023-04-12T06:53:58.552-05:00,"BE_Standard_C4484573",0-4,"Actions","BE_Welcome_Benefit Enrollment",162,yes,"BE","Default zone"
21411,2023-04-12T06:53:58.645-05:00,"BE_Standard_C4484573",0-6,"Actions","BE_Welcome_Benefit Enrollment",191,yes,"BE","Default zone"
21967,2023-04-12T06:53:59.201-05:00,"BE_Standard_C4484573",0-0,"Actions","BE_Welcome_Benefit Enrollment",313,yes,"BE","Default zone"
22034,2023-04-12T06:53:59.268-05:00,"BE_Standard_C4484573",0-7,"Actions","BE_Welcome_Benefit Enrollment",199,yes,"BE","Default zone"
22253,2023-04-12T06:53:59.487-05:00,"BE_Standard_C4484573",0-5,"Actions","BE_Welcome_Benefit Enrollment",164,yes,"BE","Default zone"
22350,2023-04-12T06:53:59.584-05:00,"BE_Standard_C4484573",0-9,"Actions","BE_Welcome_Benefit Enrollment",155,yes,"BE","Default zone"
25898,2023-04-12T06:54:03.132-05:00,"BE_Standard_C4484573",0-3,"Actions","BE_Dependents",340,yes,"BE","Default zone"
26251,2023-04-12T06:54:03.485-05:00,"BE_Standard_C4484573",0-2,"Actions","BE_Dependents",304,yes,"BE","Default zone"
26327,2023-04-12T06:54:03.561-05:00,"BE_Standard_C4484573",0-1,"Actions","BE_Dependents",308,yes,"BE","Default zone"
26652,2023-04-12T06:54:03.886-05:00,"BE_Standard_C4484573",0-8,"Actions","BE_Dependents",371,yes,"BE","Default zone"
26816,2023-04-12T06:54:04.050-05:00,"BE_Standard_C4484573",0-0,"Actions","BE_Dependents",380,yes,"BE","Default zone"
26983,2023-04-12T06:54:04.217-05:00,"BE_Standard_C4484573",0-6,"Actions","BE_Dependents",320,yes,"BE","Default zone"
27198,2023-04-12T06:54:04.432-05:00,"BE_Standard_C4484573",0-4,"Actions","BE_Dependents",328,yes,"BE","Default zone"
27534,2023-04-12T06:54:04.768-05:00,"BE_Standard_C4484573",0-5,"Actions","BE_Dependents",457,yes,"BE","Default zone"
28150,2023-04-12T06:54:05.384-05:00,"BE_Standard_C4484573",0-7,"Actions","BE_Dependents",401,yes,"BE","Default zone"
28218,2023-04-12T06:54:05.452-05:00,"BE_Standard_C4484573",0-9,"Actions","BE_Dependents",343,yes,"BE","Default zone"
30868,2023-04-12T06:54:08.102-05:00,"BE_Standard_C4484573",0-3,"Actions","BE_Medical",242,yes,"BE","Default zone"
31151,2023-04-12T06:54:08.385-05:00,"BE_Standard_C4484573",0-2,"Actions","BE_Medical",256,yes,"BE","Default zone"
31236,2023-04-12T06:54:08.470-05:00,"BE_Standard_C4484573",0-1,"Actions","BE_Medical",248,yes,"BE","Default zone"
31315,2023-04-12T06:54:08.549-05:00,"BE_Standard_C4484573",0-16,"Actions","START",0,yes,"BE","Default zone"
31352,2023-04-12T06:54:08.586-05:00,"BE_Standard_C4484573",0-11,"Actions","START",0,yes,"BE","Default zone"
31356,2023-04-12T06:54:08.590-05:00,"BE_Standard_C4484573",0-10,"Actions","START",0,yes,"BE","Default zone"
31376,2023-04-12T06:54:08.610-05:00,"BE_Standard_C4484573",0-13,"Actions","START",0,yes,"BE","Default zone"
31422,2023-04-12T06:54:08.656-05:00,"BE_Standard_C4484573",0-17,"Actions","START",0,yes,"BE","Default zone"
31458,2023-04-12T06:54:08.692-05:00,"BE_Standard_C4484573",0-15,"Actions","START",0,yes,"BE","Default zone"
31496,2023-04-12T06:54:08.730-05:00,"BE_Standard_C4484573",0-14,"Actions","START",0,yes,"BE","Default zone"
31544,2023-04-12T06:54:08.778-05:00,"BE_Standard_C4484573",0-12,"Actions","START",0,yes,"BE","Default zone"
31581,2023-04-12T06:54:08.815-05:00,"BE_Standard_C4484573",0-18,"Actions","START",0,yes,"BE","Default zone"
31596,2023-04-12T06:54:08.830-05:00,"BE_Standard_C4484573",0-19,"Actions","START",0,yes,"BE","Default zone"
31711,2023-04-12T06:54:08.945-05:00,"BE_Standard_C4484573",0-11,"Actions","BE_Landing",344,yes,"BE","Default zone"
31713,2023-04-12T06:54:08.947-05:00,"BE_Standard_C4484573",0-16,"Actions","BE_Landing",383,yes,"BE","Default zone"
31745,2023-04-12T06:54:08.979-05:00,"BE_Standard_C4484573",0-10,"Actions","BE_Landing",378,yes,"BE","Default zone"
31835,2023-04-12T06:54:09.069-05:00,"BE_Standard_C4484573",0-6,"Actions","BE_Medical",337,yes,"BE","Default zone"
31882,2023-04-12T06:54:09.116-05:00,"BE_Standard_C4484573",0-14,"Actions","BE_Landing",381,yes,"BE","Default zone"
