Elapsed,Time,User Path,Virtual User ID,Parent,Element,Response time,Success,Population,Zone
1380,2023-04-12T11:41:09.937-05:00,"OB_Standard_C4484603",0-3,"Actions","START",0,yes,"OB","Default zone"
1380,2023-04-12T11:41:09.937-05:00,"OB_Standard_C4484603",0-0,"Actions","START",0,yes,"OB","Default zone"
1380,2023-04-12T11:41:09.937-05:00,"OB_Standard_C4484603",0-8,"Actions","START",0,yes,"OB","Default zone"
1412,2023-04-12T11:41:09.969-05:00,"OB_Standard_C4484603",0-5,"Actions","START",0,yes,"OB","Default zone"
1443,2023-04-12T11:41:10.000-05:00,"OB_Standard_C4484603",0-6,"Actions","START",0,yes,"OB","Default zone"
1469,2023-04-12T11:41:10.026-05:00,"OB_Standard_C4484603",0-9,"Actions","START",0,yes,"OB","Default zone"
1509,2023-04-12T11:41:10.066-05:00,"OB_Standard_C4484603",0-2,"Actions","START",0,yes,"OB","Default zone"
1509,2023-04-12T11:41:10.066-05:00,"OB_Standard_C4484603",0-1,"Actions","START",0,yes,"OB","Default zone"
1572,2023-04-12T11:41:10.129-05:00,"OB_Standard_C4484603",0-7,"Actions","START",0,yes,"OB","Default zone"
1663,2023-04-12T11:41:10.220-05:00,"OB_Standard_C4484603",0-4,"Actions","START",0,yes,"OB","Default zone"
2848,2023-04-12T11:41:11.405-05:00,"OB_Standard_C4484603",0-4,"Actions","OB_Landing",1091,yes,"OB","Default zone"
2853,2023-04-12T11:41:11.410-05:00,"OB_Standard_C4484603",0-3,"Actions","OB_Landing",1252,yes,"OB","Default zone"
2857,2023-04-12T11:41:11.414-05:00,"OB_Standard_C4484603",0-2,"Actions","OB_Landing",1192,yes,"OB","Default zone"
2857,2023-04-12T11:41:11.414-05:00,"OB_Standard_C4484603",0-9,"Actions","OB_Landing",1302,yes,"OB","Default zone"
2857,2023-04-12T11:41:11.414-05:00,"OB_Standard_C4484603",0-5,"Actions","OB_Landing",1213,yes,"OB","Default zone"
2857,2023-04-12T11:41:11.414-05:00,"OB_Standard_C4484603",0-8,"Actions","OB_Landing",1283,yes,"OB","Default zone"
2864,2023-04-12T11:41:11.421-05:00,"OB_Standard_C4484603",0-6,"Actions","OB_Landing",1232,yes,"OB","Default zone"
2869,2023-04-12T11:41:11.426-05:00,"OB_Standard_C4484603",0-0,"Actions","OB_Landing",1347,yes,"OB","Default zone"
2871,2023-04-12T11:41:11.428-05:00,"OB_Standard_C4484603",0-1,"Actions","OB_Landing",1211,yes,"OB","Default zone"
2938,2023-04-12T11:41:11.495-05:00,"OB_Standard_C4484603",0-7,"Actions","OB_Landing",1301,yes,"OB","Default zone"
8858,2023-04-12T11:41:17.415-05:00,"OB_Standard_C4484603",0-5,"Actions","OB_Login",1260,yes,"OB","Default zone"
8889,2023-04-12T11:41:17.446-05:00,"OB_Standard_C4484603",0-6,"Actions","OB_Login",1161,yes,"OB","Default zone"
8927,2023-04-12T11:41:17.484-05:00,"OB_Standard_C4484603",0-0,"Actions","OB_Login",1606,yes,"OB","Default zone"
8969,2023-04-12T11:41:17.526-05:00,"OB_Standard_C4484603",0-1,"Actions","OB_Login",1420,yes,"OB","Default zone"
9118,2023-04-12T11:41:17.675-05:00,"OB_Standard_C4484603",0-3,"Actions","OB_Login",1467,yes,"OB","Default zone"
9256,2023-04-12T11:41:17.813-05:00,"OB_Standard_C4484603",0-9,"Actions","OB_Login",1443,yes,"OB","Default zone"
9292,2023-04-12T11:41:17.849-05:00,"OB_Standard_C4484603",0-2,"Actions","OB_Login",1133,yes,"OB","Default zone"
9376,2023-04-12T11:41:17.933-05:00,"OB_Standard_C4484603",0-7,"Actions","OB_Login",1224,yes,"OB","Default zone"
9414,2023-04-12T11:41:17.971-05:00,"OB_Standard_C4484603",0-4,"Actions","OB_Login",1300,yes,"OB","Default zone"
9784,2023-04-12T11:41:18.341-05:00,"OB_Standard_C4484603",0-8,"Actions","OB_Login",1321,yes,"OB","Default zone"
13294,2023-04-12T11:41:21.851-05:00,"OB_Standard_C4484603",0-5,"Actions","OB_Get Started",95,yes,"OB","Default zone"
13649,2023-04-12T11:41:22.206-05:00,"OB_Standard_C4484603",0-0,"Actions","OB_Get Started",92,yes,"OB","Default zone"
13681,2023-04-12T11:41:22.238-05:00,"OB_Standard_C4484603",0-6,"Actions","OB_Get Started",102,yes,"OB","Default zone"
13893,2023-04-12T11:41:22.450-05:00,"OB_Standard_C4484603",0-4,"Actions","OB_Get Started",116,yes,"OB","Default zone"
14063,2023-04-12T11:41:22.620-05:00,"OB_Standard_C4484603",0-1,"Actions","OB_Get Started",116,yes,"OB","Default zone"
14142,2023-04-12T11:41:22.699-05:00,"OB_Standard_C4484603",0-7,"Actions","OB_Get Started",116,yes,"OB","Default zone"
14259,2023-04-12T11:41:22.816-05:00,"OB_Standard_C4484603",0-3,"Actions","OB_Get Started",94,yes,"OB","Default zone"
14475,2023-04-12T11:41:23.032-05:00,"OB_Standard_C4484603",0-9,"Actions","OB_Get Started",129,yes,"OB","Default zone"
14741,2023-04-12T11:41:23.298-05:00,"OB_Standard_C4484603",0-8,"Actions","OB_Get Started",116,yes,"OB","Default zone"
15114,2023-04-12T11:41:23.671-05:00,"OB_Standard_C4484603",0-2,"Actions","OB_Get Started",111,yes,"OB","Default zone"
17961,2023-04-12T11:41:26.518-05:00,"OB_Standard_C4484603",0-0,"Actions","OB_I-9 Next",31,yes,"OB","Default zone"
18555,2023-04-12T11:41:27.112-05:00,"OB_Standard_C4484603",0-4,"Actions","OB_I-9 Next",62,yes,"OB","Default zone"
