Elapsed,Time,User Path,Virtual User ID,Parent,Element,Response time,Success,Population,Zone
1412,2023-03-03T06:15:10.746-06:00,"BE_Standard_C4484573",0-2,"Actions","START",0,yes,"BE","Default zone"
1427,2023-03-03T06:15:10.761-06:00,"BE_Standard_C4484573",0-8,"Actions","START",0,yes,"BE","Default zone"
1459,2023-03-03T06:15:10.793-06:00,"BE_Standard_C4484573",0-3,"Actions","START",0,yes,"BE","Default zone"
1483,2023-03-03T06:15:10.817-06:00,"BE_Standard_C4484573",0-9,"Actions","START",0,yes,"BE","Default zone"
1503,2023-03-03T06:15:10.837-06:00,"BE_Standard_C4484573",0-0,"Actions","START",0,yes,"BE","Default zone"
1569,2023-03-03T06:15:10.903-06:00,"BE_Standard_C4484573",0-5,"Actions","START",0,yes,"BE","Default zone"
1574,2023-03-03T06:15:10.908-06:00,"BE_Standard_C4484573",0-4,"Actions","START",0,yes,"BE","Default zone"
1585,2023-03-03T06:15:10.919-06:00,"BE_Standard_C4484573",0-6,"Actions","START",0,yes,"BE","Default zone"
1590,2023-03-03T06:15:10.924-06:00,"BE_Standard_C4484573",0-7,"Actions","START",0,yes,"BE","Default zone"
1621,2023-03-03T06:15:10.955-06:00,"BE_Standard_C4484573",0-1,"Actions","START",0,yes,"BE","Default zone"
2666,2023-03-03T06:15:12.000-06:00,"BE_Standard_C4484573",0-2,"Actions","BE_Landing",1044,yes,"BE","Default zone"
2667,2023-03-03T06:15:12.001-06:00,"BE_Standard_C4484573",0-1,"Actions","BE_Landing",978,yes,"BE","Default zone"
2866,2023-03-03T06:15:12.200-06:00,"BE_Standard_C4484573",0-3,"Actions","BE_Landing",1243,yes,"BE","Default zone"
2875,2023-03-03T06:15:12.209-06:00,"BE_Standard_C4484573",0-0,"Actions","BE_Landing",1226,yes,"BE","Default zone"
2886,2023-03-03T06:15:12.220-06:00,"BE_Standard_C4484573",0-7,"Actions","BE_Landing",1130,yes,"BE","Default zone"
2903,2023-03-03T06:15:12.237-06:00,"BE_Standard_C4484573",0-8,"Actions","BE_Landing",1250,yes,"BE","Default zone"
2929,2023-03-03T06:15:12.263-06:00,"BE_Standard_C4484573",0-9,"Actions","BE_Landing",1288,yes,"BE","Default zone"
2970,2023-03-03T06:15:12.304-06:00,"BE_Standard_C4484573",0-4,"Actions","BE_Landing",1333,yes,"BE","Default zone"
