Elapsed,Time,User Path,Virtual User ID,Parent,Element,Response time,Success,Population,Zone
1345,2023-03-03T07:01:46.655-06:00,"OB_Standard_C4484603",0-1,"Actions","START",0,yes,"OB","Default zone"
1361,2023-03-03T07:01:46.671-06:00,"OB_Standard_C4484603",0-2,"Actions","START",0,yes,"OB","Default zone"
1377,2023-03-03T07:01:46.687-06:00,"OB_Standard_C4484603",0-6,"Actions","START",0,yes,"OB","Default zone"
1392,2023-03-03T07:01:46.702-06:00,"OB_Standard_C4484603",0-7,"Actions","START",0,yes,"OB","Default zone"
1392,2023-03-03T07:01:46.702-06:00,"OB_Standard_C4484603",0-9,"Actions","START",0,yes,"OB","Default zone"
1494,2023-03-03T07:01:46.804-06:00,"OB_Standard_C4484603",0-4,"Actions","START",0,yes,"OB","Default zone"
1545,2023-03-03T07:01:46.855-06:00,"OB_Standard_C4484603",0-5,"Actions","START",0,yes,"OB","Default zone"
1563,2023-03-03T07:01:46.873-06:00,"OB_Standard_C4484603",0-8,"Actions","START",0,yes,"OB","Default zone"
1564,2023-03-03T07:01:46.874-06:00,"OB_Standard_C4484603",0-3,"Actions","START",0,yes,"OB","Default zone"
1609,2023-03-03T07:01:46.919-06:00,"OB_Standard_C4484603",0-0,"Actions","START",0,yes,"OB","Default zone"
2772,2023-03-03T07:01:48.082-06:00,"OB_Standard_C4484603",0-5,"Actions","OB_Landing",1125,yes,"OB","Default zone"
2774,2023-03-03T07:01:48.084-06:00,"OB_Standard_C4484603",0-8,"Actions","OB_Landing",1077,yes,"OB","Default zone"
2775,2023-03-03T07:01:48.085-06:00,"OB_Standard_C4484603",0-6,"Actions","OB_Landing",1207,yes,"OB","Default zone"
2775,2023-03-03T07:01:48.085-06:00,"OB_Standard_C4484603",0-2,"Actions","OB_Landing",1247,yes,"OB","Default zone"
2776,2023-03-03T07:01:48.086-06:00,"OB_Standard_C4484603",0-7,"Actions","OB_Landing",1215,yes,"OB","Default zone"
2776,2023-03-03T07:01:48.086-06:00,"OB_Standard_C4484603",0-3,"Actions","OB_Landing",1121,yes,"OB","Default zone"
2776,2023-03-03T07:01:48.086-06:00,"OB_Standard_C4484603",0-1,"Actions","OB_Landing",1105,yes,"OB","Default zone"
2776,2023-03-03T07:01:48.086-06:00,"OB_Standard_C4484603",0-0,"Actions","OB_Landing",1029,yes,"OB","Default zone"
2776,2023-03-03T07:01:48.086-06:00,"OB_Standard_C4484603",0-4,"Actions","OB_Landing",1169,yes,"OB","Default zone"
2776,2023-03-03T07:01:48.086-06:00,"OB_Standard_C4484603",0-9,"Actions","OB_Landing",1234,yes,"OB","Default zone"
8614,2023-03-03T07:01:53.924-06:00,"OB_Standard_C4484603",0-1,"Actions","OB_Login",1263,yes,"OB","Default zone"
8980,2023-03-03T07:01:54.290-06:00,"OB_Standard_C4484603",0-0,"Actions","OB_Login",1184,yes,"OB","Default zone"
9082,2023-03-03T07:01:54.392-06:00,"OB_Standard_C4484603",0-8,"Actions","OB_Login",1481,yes,"OB","Default zone"
9101,2023-03-03T07:01:54.411-06:00,"OB_Standard_C4484603",0-3,"Actions","OB_Login",925,yes,"OB","Default zone"
9139,2023-03-03T07:01:54.449-06:00,"OB_Standard_C4484603",0-6,"Actions","OB_Login",1467,yes,"OB","Default zone"
9217,2023-03-03T07:01:54.527-06:00,"OB_Standard_C4484603",0-5,"Actions","OB_Login",984,yes,"OB","Default zone"
9226,2023-03-03T07:01:54.536-06:00,"OB_Standard_C4484603",0-7,"Actions","OB_Login",1076,yes,"OB","Default zone"
9268,2023-03-03T07:01:54.578-06:00,"OB_Standard_C4484603",0-2,"Actions","OB_Login",1176,yes,"OB","Default zone"
9319,2023-03-03T07:01:54.629-06:00,"OB_Standard_C4484603",0-4,"Actions","OB_Login",978,yes,"OB","Default zone"
9554,2023-03-03T07:01:54.864-06:00,"OB_Standard_C4484603",0-9,"Actions","OB_Login",895,yes,"OB","Default zone"
13287,2023-03-03T07:01:58.597-06:00,"OB_Standard_C4484603",0-1,"Actions","OB_Get Started",101,yes,"OB","Default zone"
13466,2023-03-03T07:01:58.776-06:00,"OB_Standard_C4484603",0-0,"Actions","OB_Get Started",105,yes,"OB","Default zone"
13983,2023-03-03T07:01:59.293-06:00,"OB_Standard_C4484603",0-3,"Actions","OB_Get Started",122,yes,"OB","Default zone"
14020,2023-03-03T07:01:59.330-06:00,"OB_Standard_C4484603",0-7,"Actions","OB_Get Started",99,yes,"OB","Default zone"
14072,2023-03-03T07:01:59.382-06:00,"OB_Standard_C4484603",0-8,"Actions","OB_Get Started",99,yes,"OB","Default zone"
14149,2023-03-03T07:01:59.459-06:00,"OB_Standard_C4484603",0-4,"Actions","OB_Get Started",80,yes,"OB","Default zone"
14227,2023-03-03T07:01:59.537-06:00,"OB_Standard_C4484603",0-2,"Actions","OB_Get Started",88,yes,"OB","Default zone"
14729,2023-03-03T07:02:00.039-06:00,"OB_Standard_C4484603",0-6,"Actions","OB_Get Started",91,yes,"OB","Default zone"
14811,2023-03-03T07:02:00.121-06:00,"OB_Standard_C4484603",0-9,"Actions","OB_Get Started",90,yes,"OB","Default zone"
14865,2023-03-03T07:02:00.175-06:00,"OB_Standard_C4484603",0-5,"Actions","OB_Get Started",92,yes,"OB","Default zone"
17773,2023-03-03T07:02:03.083-06:00,"OB_Standard_C4484603",0-0,"Actions","OB_I-9 Next",31,yes,"OB","Default zone"
17960,2023-03-03T07:02:03.270-06:00,"OB_Standard_C4484603",0-1,"Actions","OB_I-9 Next",31,yes,"OB","Default zone"
18590,2023-03-03T07:02:03.900-06:00,"OB_Standard_C4484603",0-7,"Actions","OB_I-9 Next",36,yes,"OB","Default zone"
19039,2023-03-03T07:02:04.349-06:00,"OB_Standard_C4484603",0-3,"Actions","OB_I-9 Next",31,yes,"OB","Default zone"
19076,2023-03-03T07:02:04.386-06:00,"OB_Standard_C4484603",0-8,"Actions","OB_I-9 Next",42,yes,"OB","Default zone"
19110,2023-03-03T07:02:04.420-06:00,"OB_Standard_C4484603",0-2,"Actions","OB_I-9 Next",38,yes,"OB","Default zone"
19423,2023-03-03T07:02:04.733-06:00,"OB_Standard_C4484603",0-6,"Actions","OB_I-9 Next",31,yes,"OB","Default zone"
19632,2023-03-03T07:02:04.942-06:00,"OB_Standard_C4484603",0-5,"Actions","OB_I-9 Next",31,yes,"OB","Default zone"
19768,2023-03-03T07:02:05.078-06:00,"OB_Standard_C4484603",0-4,"Actions","OB_I-9 Next",31,yes,"OB","Default zone"
19898,2023-03-03T07:02:05.208-06:00,"OB_Standard_C4484603",0-9,"Actions","OB_I-9 Next",48,yes,"OB","Default zone"
